"REF_DATE","GEO","DGUID","Business characteristics","Length of time business or organization can continue to operate","Length of time","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1248302871","1.19.2.1","0.6","A","","","1"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1248302872","1.19.2.2","0.4","A","","","1"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1248302873","1.19.2.3","2.6","A","","","1"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1248302874","1.19.2.4","5.9","A","","","1"
"2020","Canada","2016A000011124","1 to 4 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1248302875","1.19.2.5","38.3","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1248302895","1.20.2.1","1.1","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1248302896","1.20.2.2","1.0","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1248302897","1.20.2.3","5.0","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1248302898","1.20.2.4","5.5","A","","","1"
"2020","Canada","2016A000011124","5 to 19 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1248302899","1.20.2.5","36.5","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1248302907","1.21.2.1","0.4","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1248302908","1.21.2.2","0.3","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1248302909","1.21.2.3","2.9","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1248302910","1.21.2.4","5.6","A","","","1"
"2020","Canada","2016A000011124","20 to 99 employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1248302911","1.21.2.5","41.5","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, less than 1 month","Percent","239","units","0","v1248302919","1.22.2.1","0.1","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 1 month to less than 3 months","Percent","239","units","0","v1248302920","1.22.2.2","0.8","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 3 months to less than 6 months","Percent","239","units","0","v1248302921","1.22.2.3","0.4","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 6 months to less than 12 months","Percent","239","units","0","v1248302922","1.22.2.4","2.5","A","","","1"
"2020","Canada","2016A000011124","100 or more employees","Business or organization can continue to operate before considering closure or bankruptcy","Length of time, 12 months or more","Percent","239","units","0","v1248302923","1.22.2.5","51.9","B","","","1"


